"author_id","isbn"
1,"9780195153446"
11941,"9780195153446"
2,"9780002005012"
3,"9780060973124"
4,"9780374157067"
5,"9780393045215"
11942,"9780393045215"
6,"9780399135781"
7,"9780425176429"
8,"9780671870430"
11943,"9780671870430"
9,"9780679425601"
10,"9780743226783"
11,"9780771074677"
12,"9780806521213"
13,"9780887841743"
14,"9781552041772"
15,"9781558746213"
1301,"9781558746213"
16,"9781567407785"
11944,"9781567407785"
17,"9781575663937"
18,"9781881320180"
19,"9780440234746"
20,"9780452264465"
21,"9780609804612"
11945,"9780609804612"
22,"9781841721521"
11946,"9781841721521"
23,"9781879384491"
24,"9780061076039"
25,"9780439095020"
26,"9780689821165"
8863,"9780689821165"
27,"9780971880108"
28,"9780345402875"
28,"9780345417626"
29,"9780684823805"
30,"9780375759772"
31,"9780425163092"
32,"9783404921034"
11947,"9783404921034"
12036,"9783404921034"
33,"9783442353866"
11948,"9783442353866"
34,"9783442410668"
35,"9783442446933"
11949,"9783442446933"
36,"9780375406324"
37,"9780446310789"
38,"9780449005613"
39,"9780060168018"
40,"9780380782437"
41,"9780553212150"
42,"9780671765378"
43,"9780061099687"
44,"9780553582901"
45,"9780671888589"
44,"9780553582741"
46,"9780425182901"
47,"9780425186305"
48,"9780440223573"
49,"9780812523874"
50,"9780842342704"
2134,"9780842342704"
19,"9780440225706"
51,"9780060914066"
52,"9780156047623"
53,"9780245542954"
54,"9780380715893"
55,"9780553280333"
11950,"9780553280333"
56,"9780961769949"
57,"9780964778313"
58,"9780671623241"
59,"9780679810308"
59,"9780679865698"
60,"9782070423200"
61,"9780345260314"
62,"9780394743745"
63,"9780425117743"
6,"9780804106306"
64,"9781853262401"
65,"9780312970246"
11951,"9780312970246"
66,"9781853260056"
67,"9781414035000"
11952,"9781414035000"
68,"9780060938413"
69,"9780140067477"
38,"9780345465085"
70,"9780451625885"
71,"9781558531024"
72,"9780441783588"
73,"9780394895895"
75,"9780375410536"
76,"9780966986105"
77,"9780871133755"
78,"9780340767931"
79,"9780743403849"
80,"9780060930363"
81,"9780060177584"
82,"9780071416337"
11953,"9780071416337"
83,"9780375509032"
84,"9780553062045"
85,"9780316769488"
86,"9780679429227"
45,"9780671867157"
87,"9780312252618"
88,"9780312261597"
89,"9780316748643"
90,"9780316973748"
91,"9780385235945"
92,"9780446677455"
11954,"9780446677455"
93,"9780451166890"
